area,2019,2020
Ainslie (SA2) - Houses,668.86,714.48
Amaroo (SA2) - Houses,595.90,659.58
Amaroo (SA2) - Units,519.14,528.57
Aranda (SA2) - Houses,646.01,n.a
Banks (SA2) - Houses,557.87,n.a
Banks (SA2) - Units,448.62,n.a
Barton (SA2) - Units,544.50,587.80
Belconnen (SA2) - Houses,491.31,547.32
Belconnen (SA2) - Units,449.34,459.11
Bonner (SA2) - Houses,636.27,657.27
Bonner (SA2) - Units,510.13,521.63
Bonython (SA2) - Houses,583.33,n.a
Bonython (SA2) - Units,504.27,n.a
Braddon (SA2) - Houses,722.78,760.99
Braddon (SA2) - Units,523.84,523.01
Bruce (SA2) - Houses,651.47,667.61
Bruce (SA2) - Units,486.87,490.29
Calwell (SA2) - Houses,532.95,n.a
Calwell (SA2) - Units,451.05,n.a
Campbell (SA2) - Houses,801.45,801.03
Campbell (SA2) - Units,558.73,589.10
Casey (SA2) - Houses,611.95,650.69
Casey (SA2) - Units,483.88,493.20
Chapman (SA2) - Houses,627.75,n.a
Charnwood (SA2) - Houses,495.34,529.41
Charnwood (SA2) - Units,448.35,n.a
Chifley (SA2) - Houses,554.83,601.77
Chifley (SA2) - Units,440.06,423.16
Chisholm (SA2) - Houses,505.39,n.a
Civic (SA2) - Units,600.86,603.38
Conder (SA2) - Houses,570.90,n.a
Cook (SA2) - Houses,541.19,598.60
Cook (SA2) - Units,472.48,492.02
Coombs (SA2) - Houses,717.52,n.a
Coombs (SA2) - Units,534.77,496.53
Crace (SA2) - Houses,687.52,681.04
Crace (SA2) - Units,462.08,467.01
Curtin (SA2) - Houses,611.96,632.88
Curtin (SA2) - Units,400.57,390.55
Deakin (SA2) - Houses,789.55,855.41
Deakin (SA2) - Units,630.56,637.77
Denman Prospect (SA2) - Houses,797.10,n.a
Denman Prospect (SA2) - Units,n.a,522.69
Dickson (SA2) - Houses,658.40,662.99
Dickson (SA2) - Units,489.12,498.37
Downer (SA2) - Houses,627.07,637.86
Downer (SA2) - Units,438.16,457.77
Duffy (SA2) - Houses,600.70,644.99
Duffy (SA2) - Units,520.99,n.a
Dunlop (SA2) - Houses,562.80,618.83
Dunlop (SA2) - Units,497.30,n.a
Evatt (SA2) - Houses,514.03,547.81
Evatt (SA2) - Units,472.06,n.a
Fadden (SA2) - Houses,605.12,n.a
Farrer (SA2) - Houses,656.94,724.09
Farrer (SA2) - Units,447.44,n.a
Fisher (SA2) - Houses,518.61,571.08
Fisher (SA2) - Units,457.93,n.a
Florey (SA2) - Houses,526.78,589.14
Florey (SA2) - Units,462.52,479.27
Flynn (ACT) (SA2) - Houses,583.23,638.49
Forde (SA2) - Houses,684.84,680.83
Forde (SA2) - Units,577.90,569.38
Forrest (SA2) - Houses,1084.61,n.a
Forrest (SA2) - Units,623.26,619.13
Franklin (SA2) - Houses,645.11,681.78
Franklin (SA2) - Units,463.97,463.35
Fraser (SA2) - Houses,580.83,n.a
Garran (SA2) - Houses,663.13,722.29
Garran (SA2) - Units,554.19,622.98
Gilmore (SA2) - Houses,533.14,n.a
Giralang (SA2) - Houses,531.66,561.33
Gordon (ACT) (SA2) - Houses,571.32,630.87
Gordon (ACT) (SA2) - Units,464.05,479.40
Gowrie (ACT) (SA2) - Houses,578.04,n.a
Greenway (SA2) - Units,481.81,478.81
Griffith (ACT) (SA2) - Houses,843.81,847.65
Griffith (ACT) (SA2) - Units,526.53,522.88
Gungahlin (SA2) - Houses,620.34,657.48
Gungahlin (SA2) - Units,450.01,458.46
Hackett (SA2) - Houses,623.83,653.69
Hackett (SA2) - Units,388.26,408.15
Harrison (SA2) - Houses,638.06,667.15
Harrison (SA2) - Units,460.70,466.17
Hawker (SA2) - Houses,623.47,n.a
Hawker (SA2) - Units,441.55,408.63
Higgins (SA2) - Houses,505.85,558.34
Holder (SA2) - Houses,538.88,581.05
Holder (SA2) - Units,508.74,n.a
Holt (SA2) - Houses,497.31,553.13
Holt (SA2) - Units,440.83,467.25
Hughes (SA2) - Houses,643.71,681.33
Hughes (SA2) - Units,357.44,n.a
Isaacs (SA2) - Houses,656.50,719.97
Isaacs (SA2) - Units,544.02,n.a
Isabella Plains (SA2) - Houses,521.51,550.41
Isabella Plains (SA2) - Units,467.10,n.a
Jacka (SA2) - Units,470.01,n.a
Kaleen (SA2) - Houses,535.26,592.11
Kambah (SA2) - Houses,507.94,546.76
Kambah (SA2) - Units,457.24,n.a
Kingston (ACT) (SA2) - Houses,704.46,776.44
Kingston (ACT) (SA2) - Units,565.34,553.36
Latham (SA2) - Houses,499.17,548.81
Lawson (SA2) - Units,550.92,566.44
