Lyneham (SA2) - Houses,637.59,648.48
Lyneham (SA2) - Units,480.51,477.08
Lyons (ACT) (SA2) - Houses,568.08,604.61
Lyons (ACT) (SA2) - Units,419.97,424.58
Macarthur (SA2) - Houses,576.50,n.a
Macgregor (ACT) (SA2) - Houses,514.71,548.30
Macgregor (ACT) (SA2) - Units,456.86,n.a
Macquarie (SA2) - Houses,526.94,584.20
Macquarie (SA2) - Units,523.78,486.82
Mawson (SA2) - Houses,572.73,612.89
Mawson (SA2) - Units,478.68,485.10
McKellar (SA2) - Houses,561.06,614.77
Melba (SA2) - Houses,529.83,580.51
Monash (SA2) - Houses,580.44,642.30
Monash (SA2) - Units,476.07,n.a
Moncrieff (SA2) - Houses,639.42,687.09
Moncrieff (SA2) - Units,529.74,539.21
Narrabundah (SA2) - Houses,596.84,680.13
Narrabundah (SA2) - Units,515.97,502.99
Ngunnawal (SA2) - Houses,524.47,577.76
Ngunnawal (SA2) - Units,474.19,478.09
Nicholls (SA2) - Houses,662.55,672.64
Nicholls (SA2) - Units,546.73,533.68
O'Connor (ACT) (SA2) - Houses,679.24,687.14
O'Connor (ACT) (SA2) - Units,498.55,507.22
O'Malley (SA2) - Houses,765.59,n.a
Oxley (ACT) (SA2) - Houses,585.60,n.a
Page (SA2) - Houses,505.13,557.70
Page (SA2) - Units,471.57,477.45
Palmerston (SA2) - Houses,602.03,650.12
Palmerston (SA2) - Units,478.97,477.83
Pearce (SA2) - Houses,603.85,n.a
Pearce (SA2) - Units,477.02,n.a
Phillip (SA2) - Houses,524.78,n.a
Phillip (SA2) - Units,442.84,463.09
Red Hill (ACT) (SA2) - Houses,794.38,874.22
Red Hill (ACT) (SA2) - Units,499.25,444.47
Reid (SA2) - Units,525.16,535.43
Richardson (SA2) - Houses,497.88,n.a
Rivett (SA2) - Houses,523.70,571.01
Scullin (SA2) - Houses,505.61,558.34
Scullin (SA2) - Units,417.73,425.06
Spence (SA2) - Houses,529.02,n.a
Stirling (SA2) - Houses,612.30,n.a
Taylor (SA2) - Houses,571.51,n.a
Theodore (SA2) - Houses,539.43,n.a
Theodore (SA2) - Units,444.45,n.a
Throsby (SA2) - Houses,662.02,725.35
Torrens (SA2) - Houses,582.46,617.82
Torrens (SA2) - Units,490.28,n.a
Turner (SA2) - Houses,673.16,n.a
Turner (SA2) - Units,549.47,560.56
Wanniassa (SA2) - Houses,529.62,583.06
Wanniassa (SA2) - Units,421.95,n.a
Waramanga (SA2) - Houses,518.13,570.08
Watson (SA2) - Houses,608.97,615.17
Watson (SA2) - Units,467.84,457.87
Weetangera (SA2) - Houses,634.78,703.37
Weetangera (SA2) - Units,541.89,n.a
Weston (SA2) - Houses,546.88,581.33
Weston (SA2) - Units,477.48,479.10
Wright (SA2) - Houses,710.39,773.09
Wright (SA2) - Units,464.76,485.60
Yarralumla (SA2) - Houses,715.54,751.42
Yarralumla (SA2) - Units,671.74,578.18
